AX001,11/6/2019 11:09:36
AX001,11/6/2019 17:33:13
AX001,11/6/2019 18:23:44
AX001,12/6/2019 08:52:52
AX001,12/6/2019 08:53:20
AX001,12/6/2019 09:44:36
AX001,12/6/2019 13:40:38
AX001,12/6/2019 14:54:44
AX001,12/6/2019 17:09:47
AX001,12/6/2019 18:20:05
AX001,13/6/2019 09:09:56
AX001,13/6/2019 17:33:50
AX001,14/6/2019 13:36:34
AX001,14/6/2019 15:16:50
AX001,14/6/2019 16:34:22
AX001,14/6/2019 17:38:29
AX001,17/6/2019 09:21:23
AX001,17/6/2019 10:26:00
AX001,17/6/2019 14:22:00
AX001,17/6/2019 16:06:09
AX001,17/6/2019 17:31:42
AX001,17/6/2019 18:16:02
AX001,17/6/2019 18:16:02
AX001,17/6/2019 18:19:44
AX001,18/6/2019 09:07:29
AX001,18/6/2019 13:28:57
AX001,18/6/2019 13:28:58
AX001,18/6/2019 14:40:16
AX001,18/6/2019 15:02:42
AX001,20/6/2019 09:20:53
AX001,20/6/2019 10:21:24
AX001,20/6/2019 10:22:32
AX001,20/6/2019 11:30:15
AX001,20/6/2019 13:41:10
AX001,20/6/2019 15:28:13
AX001,20/6/2019 16:26:27
AX001,21/6/2019 11:31:18
AX001,21/6/2019 14:44:51
AX001,21/6/2019 16:56:31
AX001,21/6/2019 17:49:23
AX001,21/6/2019 17:49:24
AX001,21/6/2019 18:31:21
AX001,21/6/2019 18:42:14
AX001,21/6/2019 19:06:31
AX001,24/6/2019 09:02:45
AX001,24/6/2019 09:41:36
AX001,24/6/2019 10:55:47
AX001,24/6/2019 11:47:49
AX001,24/6/2019 13:55:25
AX001,24/6/2019 15:56:36
AX001,24/6/2019 16:44:32
AX001,24/6/2019 18:42:20
AX001,25/6/2019 09:09:25
AX001,25/6/2019 10:29:40
AX001,25/6/2019 11:40:10
AX001,25/6/2019 13:12:43
AX001,25/6/2019 15:29:40
AX001,25/6/2019 16:12:27
AX001,25/6/2019 17:53:26
AX001,26/6/2019 10:20:35
AX001,26/6/2019 13:51:01
AX001,26/6/2019 15:24:47
AX001,26/6/2019 18:00:33
AX001,26/6/2019 18:23:09
AX001,26/6/2019 18:24:21
AX001,26/6/2019 18:30:18
AX001,27/6/2019 09:07:30
AX001,27/6/2019 10:10:43
AX001,27/6/2019 10:13:00
AX001,27/6/2019 10:15:35
AX001,27/6/2019 15:04:32
AX001,27/6/2019 18:15:00
AX001,28/6/2019 09:22:50
AX001,28/6/2019 13:37:04
AX001,28/6/2019 14:17:21
AX001,28/6/2019 14:20:38
AX001,28/6/2019 14:22:25
AX001,28/6/2019 17:29:29
AX001,28/6/2019 18:30:10
AX001,28/6/2019 18:31:34
AX001,1/7/2019 09:10:47
AX001,1/7/2019 11:40:23
AX001,1/7/2019 13:35:15
AX001,1/7/2019 13:48:36
AX001,1/7/2019 17:10:26
AX001,2/7/2019 09:06:13
AX001,2/7/2019 13:35:19
AX001,2/7/2019 15:42:18
AX001,3/7/2019 14:26:50
AX001,3/7/2019 15:33:42
AX001,4/7/2019 09:05:42
AX001,4/7/2019 11:43:35
AX001,4/7/2019 13:37:36
AX001,5/7/2019 14:42:13
AX001,5/7/2019 14:42:15
AX001,5/7/2019 14:42:19
AX001,5/7/2019 17:23:38
AX001,5/7/2019 19:04:18
AX001,5/7/2019 19:43:09
AX001,5/7/2019 19:43:09
AX001,5/7/2019 19:45:03
AX001,8/7/2019 09:12:19
AX001,8/7/2019 10:03:46
AX001,8/7/2019 13:41:30
AX001,8/7/2019 13:59:31
AX001,8/7/2019 14:23:48
AX001,8/7/2019 14:44:48
AX001,8/7/2019 17:57:24
AX001,8/7/2019 18:35:42
AX001,9/7/2019 09:05:04
AX001,9/7/2019 13:36:42
AX001,9/7/2019 17:22:58
AX001,9/7/2019 17:33:32
AX001,9/7/2019 18:07:16
AX001,9/7/2019 18:23:38
AX001,9/7/2019 18:34:21
AX001,9/7/2019 18:41:32
AX001,9/7/2019 18:44:10
AX001,10/7/2019 09:06:58
AX001,10/7/2019 09:58:06
AX001,10/7/2019 09:59:24
AX001,10/7/2019 11:36:05
AX001,10/7/2019 13:11:17
AX001,10/7/2019 15:29:26
AX001,10/7/2019 17:35:27
AX001,10/7/2019 18:54:09
AX001,10/7/2019 19:11:55
AX001,11/7/2019 09:04:51
AX001,11/7/2019 09:04:54
AX001,11/7/2019 09:04:58
AX001,11/7/2019 11:07:20
AX001,11/7/2019 13:42:32
AX001,11/7/2019 17:26:06
AX001,11/7/2019 18:12:42
AX001,12/7/2019 09:15:56
AX001,12/7/2019 10:13:14
AX001,12/7/2019 11:37:21
AX001,12/7/2019 13:33:38
AX001,12/7/2019 15:27:14
AX001,12/7/2019 16:23:43
AX001,12/7/2019 17:50:47
AX001,12/7/2019 19:06:08
AX001,12/7/2019 19:21:16
AX001,12/7/2019 19:23:47
AX001,15/7/2019 10:58:17
